SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,ExterQual,TotalBsmtSF,1stFlrSF,KitchenQual,BsmtQual
215000,6,1656,2.0,528.0,0.0,1080.0,1656,0.0,0.0
105000,5,896,1.0,730.0,0.0,882.0,896,0.0,0.0
172000,6,1329,1.0,312.0,0.0,1329.0,1329,4.0,0.0
244000,7,2110,2.0,522.0,4.0,2110.0,2110,5.0,0.0
189900,5,1629,2.0,482.0,0.0,928.0,928,0.0,4.0
195500,6,1604,2.0,470.0,0.0,926.0,926,4.0,0.0
213500,8,1338,2.0,582.0,4.0,1338.0,1338,4.0,4.0
191500,8,1280,2.0,506.0,4.0,1280.0,1280,4.0,4.0
236500,8,1616,2.0,608.0,4.0,1595.0,1616,4.0,4.0
189000,7,1804,2.0,442.0,0.0,994.0,1028,4.0,0.0
175900,6,1655,2.0,440.0,0.0,763.0,763,0.0,4.0
185000,6,1187,2.0,420.0,0.0,1168.0,1187,0.0,4.0
180400,6,1465,2.0,393.0,0.0,789.0,789,0.0,4.0
171500,7,1341,2.0,506.0,0.0,1300.0,1341,4.0,4.0
212000,8,1502,2.0,528.0,4.0,1488.0,1502,4.0,4.0
538000,8,3279,3.0,841.0,5.0,1650.0,1690,5.0,4.0
164000,8,1752,2.0,492.0,4.0,559.0,1080,0.0,4.0
394432,9,1856,3.0,834.0,4.0,1856.0,1856,5.0,5.0
141000,4,864,2.0,400.0,0.0,864.0,864,0.0,0.0
210000,6,2073,2.0,500.0,0.0,1542.0,2073,0.0,4.0
190000,6,1844,2.0,546.0,0.0,1844.0,1844,0.0,4.0
170000,7,1173,2.0,528.0,0.0,1053.0,1173,4.0,4.0
216000,7,1674,2.0,663.0,4.0,814.0,814,4.0,4.0
149000,6,1004,2.0,480.0,0.0,1004.0,1004,0.0,0.0
149900,5,1078,2.0,500.0,0.0,1078.0,1078,0.0,0.0
142000,5,1056,1.0,304.0,0.0,1056.0,1056,0.0,0.0
126000,4,882,2.0,525.0,0.0,882.0,882,0.0,0.0
115000,4,864,0.0,0.0,0.0,864.0,864,0.0,0.0
184000,7,1337,2.0,511.0,4.0,1405.0,1337,4.0,4.0
96000,6,987,1.0,264.0,0.0,483.0,483,0.0,0.0
105500,5,1092,1.0,320.0,0.0,525.0,525,0.0,0.0
88000,6,1092,1.0,264.0,0.0,525.0,525,0.0,0.0
127500,6,1069,2.0,440.0,0.0,1069.0,1069,0.0,4.0
149900,6,1456,2.0,440.0,0.0,855.0,855,4.0,0.0
120000,7,836,1.0,308.0,0.0,836.0,836,0.0,4.0
146000,6,1456,2.0,440.0,0.0,855.0,855,0.0,4.0
376162,9,2334,3.0,751.0,5.0,1590.0,1627,5.0,5.0
306000,8,1704,3.0,772.0,4.0,1704.0,1704,4.0,5.0
395192,9,1940,3.0,606.0,5.0,1930.0,1940,5.0,5.0
290941,8,1544,3.0,868.0,4.0,1544.0,1544,4.0,4.0
220000,7,1541,2.0,532.0,4.0,1541.0,1541,4.0,4.0
275000,9,1698,3.0,730.0,4.0,1698.0,1698,5.0,5.0
259000,8,1822,3.0,678.0,4.0,1822.0,1822,5.0,5.0
214000,7,1535,2.0,532.0,4.0,1517.0,1535,4.0,4.0
611657,9,2364,3.0,820.0,5.0,2330.0,2364,5.0,5.0
224000,7,1358,2.0,484.0,4.0,1358.0,1358,4.0,4.0
500000,9,2696,3.0,958.0,5.0,2846.0,2696,5.0,5.0
320000,8,2250,3.0,756.0,4.0,1671.0,1687,4.0,4.0
319900,9,1752,2.0,576.0,5.0,1752.0,1752,5.0,5.0
205000,8,1370,2.0,484.0,4.0,1370.0,1370,4.0,4.0
175500,7,1626,2.0,474.0,4.0,764.0,764,4.0,4.0
199500,6,1324,2.0,430.0,4.0,1324.0,1324,4.0,4.0
160000,7,1145,2.0,437.0,4.0,1145.0,1145,4.0,4.0
192000,8,1269,2.0,430.0,4.0,1256.0,1269,4.0,4.0
184500,7,1374,2.0,400.0,4.0,384.0,744,4.0,4.0
216500,6,1960,2.0,440.0,4.0,860.0,860,4.0,4.0
185088,7,1733,2.0,433.0,4.0,847.0,847,4.0,4.0
180000,7,1430,2.0,400.0,0.0,384.0,774,0.0,4.0
222500,7,2035,2.0,434.0,4.0,884.0,884,4.0,4.0
